timestamp,voltage,current,power,anomaly_score,status,final_conclusion
3404072500000.0,254.81,0.115,29.30315,0.006675543,Normal,Conclusion: Normal - System Healthy
5172421500000.0,263.66,0.14,36.9124,0.007360002,Normal,Conclusion: Normal - System Healthy
1611000.0,292.9157421164017,0.4072075001043922,119.27748708844275,0.011633678,Normal,Conclusion: Normal - System Healthy
3404072500000.0,256.48,0.138,35.39424,0.22898446,Normal,Conclusion: Normal - System Healthy
1704072400000.0,257.17,0.14,36.0038,0.33214006,Normal,Conclusion: Normal - System Healthy
1704072400000.0,259.65,0.0,0.0,0.24548534,Normal,Conclusion: Normal - System Healthy
1704072400000.0,259.81,0.0,0.0,0.12367117,Normal,Conclusion: Normal - System Healthy
3404072500000.0,259.96,0.0,0.0,0.110172555,Normal,Conclusion: Normal - System Healthy
5172421500000.0,257.26,0.105,27.0123,0.120882966,Normal,Conclusion: Normal - System Healthy
2096000.0,261.34,0.0,0.0,0.050288294,Normal,Conclusion: Normal - System Healthy
1704072400000.0,253.99,0.154,39.11446,0.052046172,Normal,Conclusion: Normal - System Healthy
5172335000000.0,255.33,0.14,35.7462,0.013065865,Normal,Conclusion: Normal - System Healthy
5172335000000.0,254.87,0.15,38.2305,0.020173578,Normal,Conclusion: Normal - System Healthy
2407000.0,255.19,0.156,39.80964,0.16237082,Normal,Conclusion: Normal - System Healthy
5172421500000.0,258.61,0.145,37.49845,0.18321438,Normal,Conclusion: Normal - System Healthy
3404072500000.0,254.9,0.085,21.6665,0.01196519,Normal,Conclusion: Normal - System Healthy
1704072400000.0,254.29,0.157,39.92353,0.007965276,Normal,Conclusion: Normal - System Healthy
1994000.0,257.54,0.146,37.60084,0.025601396,Normal,Conclusion: Normal - System Healthy
3404072500000.0,255.33,0.14,35.7462,0.019129932,Normal,Conclusion: Normal - System Healthy
3404072500000.0,289.275661408454,0.3558211895005223,102.93040993590644,0.012434531,Normal,Conclusion: Normal - System Healthy
3404072500000.0,259.34,0.0,0.0,0.060379885,Normal,Conclusion: Normal - System Healthy
109000.0,254.91,0.085,21.66735,0.28100875,Normal,Conclusion: Normal - System Healthy
1704072400000.0,254.19,0.113,28.72347,0.23797585,Normal,Conclusion: Normal - System Healthy
1704072400000.0,257.79,0.0,0.0,0.04634294,Normal,Conclusion: Normal - System Healthy
1390000.0,308.67086296054754,0.3608171793081987,111.3737501080523,0.016717238,Normal,Conclusion: Normal - System Healthy
1704072400000.0,257.45,0.178,45.8261,0.24906549,Normal,Conclusion: Normal - System Healthy
3404072500000.0,266.47,0.142,37.83874,0.3003123,Normal,Conclusion: Normal - System Healthy
1660000.0,256.89,0.154,39.56106,0.31379014,Normal,Conclusion: Normal - System Healthy
1704072400000.0,256.85,0.107,27.48295,0.14615966,Normal,Conclusion: Normal - System Healthy
1655000.0,258.08,0.0,0.0,0.030647181,Normal,Conclusion: Normal - System Healthy
1487000.0,257.18,0.12,30.8616,0.026692268,Normal,Conclusion: Normal - System Healthy
1284000.0,258.6,0.191,49.3926,0.016462175,Normal,Conclusion: Normal - System Healthy
3404072500000.0,258.57,0.196,50.67972,0.010076009,Normal,Conclusion: Normal - System Healthy
361000.0,256.84,0.134,34.41656,0.005025368,Normal,Conclusion: Normal - System Healthy
1704072400000.0,291.18487735599285,0.3096405494707704,90.16264542208852,0.0054717236,Normal,Conclusion: Normal - System Healthy
2001000.0,260.24,0.0,0.0,0.0828165,Normal,Conclusion: Normal - System Healthy
1704072400000.0,255.45,0.077,19.66965,0.31337187,Normal,Conclusion: Normal - System Healthy
3404072500000.0,292.18225929837087,0.3054369976520749,89.24327204729444,0.29265755,Normal,Conclusion: Normal - System Healthy
1704072400000.0,306.62426150286115,0.3780402929254981,115.91632563660616,0.3495219,Normal,Conclusion: Normal - System Healthy
3404072500000.0,258.98,0.14,36.2572,0.39686102,Normal,Conclusion: Normal - System Healthy
5172421500000.0,263.91,0.149,39.32259,0.39100358,Normal,Conclusion: Normal - System Healthy
1704072400000.0,297.49680327726736,0.2631918126018685,78.29872289780549,0.35434783,Normal,Conclusion: Normal - System Healthy
1489000.0,256.6,0.051,13.0866,0.38614282,Normal,Conclusion: Normal - System Healthy
5172421500000.0,256.48,0.073,18.72304,0.37519506,Normal,Conclusion: Normal - System Healthy
5172421500000.0,257.52,0.149,38.37048,0.24834658,Normal,Conclusion: Normal - System Healthy
3404072500000.0,259.53,0.0,0.0,0.052538354,Normal,Conclusion: Normal - System Healthy
5172421500000.0,261.31,0.0,0.0,0.0508202,Normal,Conclusion: Normal - System Healthy
1704072400000.0,255.21,0.066,16.84386,0.15048644,Normal,Conclusion: Normal - System Healthy
1704072400000.0,256.92,0.106,27.23352,0.09170275,Normal,Conclusion: Normal - System Healthy
1314000.0,256.9,0.197,50.6093,0.02521131,Normal,Conclusion: Normal - System Healthy
3404072500000.0,258.43,0.0,0.0,0.0059238593,Normal,Conclusion: Normal - System Healthy
1704072400000.0,261.54,0.0,0.0,0.0052304566,Normal,Conclusion: Normal - System Healthy
5172421500000.0,256.41,0.181,46.41021,0.0068423357,Normal,Conclusion: Normal - System Healthy
1920000.0,259.8,0.0,0.0,0.0075973338,Normal,Conclusion: Normal - System Healthy
5172421500000.0,256.67,0.039,10.01013,0.019899832,Normal,Conclusion: Normal - System Healthy
3404072500000.0,256.34,0.144,36.91296,0.03736889,Normal,Conclusion: Normal - System Healthy
1704072400000.0,254.5,0.133,33.8485,0.012042659,Normal,Conclusion: Normal - System Healthy
5172335000000.0,255.74,0.1,25.574,0.018751793,Normal,Conclusion: Normal - System Healthy
3404072500000.0,254.27,0.137,34.83499,0.08528082,Normal,Conclusion: Normal - System Healthy
1209000.0,255.89,0.087,22.26243,0.168232,Normal,Conclusion: Normal - System Healthy
211000.0,254.16,0.145,36.8532,0.039269228,Normal,Conclusion: Normal - System Healthy
3404072500000.0,305.2028047124015,0.401979749179206,122.68534688708132,0.033129103,Normal,Conclusion: Normal - System Healthy
1704072400000.0,256.54,0.05,12.827,0.1291598,Normal,Conclusion: Normal - System Healthy
162000.0,292.650354318636,0.2524785980584083,73.88795117966566,0.29923314,Normal,Conclusion: Normal - System Healthy
5172421500000.0,257.57,0.148,38.12036,0.3868878,Normal,Conclusion: Normal - System Healthy
1704072400000.0,248.89,0.108,26.88012,0.3549494,Normal,Conclusion: Normal - System Healthy
100000.0,254.52,0.179,45.55908,0.052222844,Normal,Conclusion: Normal - System Healthy
3404072500000.0,260.28,0.0,0.0,0.013108951,Normal,Conclusion: Normal - System Healthy
5172335000000.0,301.81049274276785,0.3646319462378505,110.04974736380012,0.0048366757,Normal,Conclusion: Normal - System Healthy
3404072500000.0,257.14,0.049,12.59986,0.1940397,Normal,Conclusion: Normal - System Healthy
3404072500000.0,298.50077402472806,0.2959006808181277,88.32658225865512,0.3448984,Normal,Conclusion: Normal - System Healthy
5172335000000.0,255.13,0.148,37.75924,0.40080383,Normal,Conclusion: Normal - System Healthy
3404072500000.0,257.28,0.047,12.09216,0.3543492,Normal,Conclusion: Normal - System Healthy
1704072400000.0,257.01,0.117,30.07017,0.18822096,Normal,Conclusion: Normal - System Healthy
5172335000000.0,255.35,0.137,34.98295,0.03092664,Normal,Conclusion: Normal - System Healthy
113000.0,254.86,0.082,20.89852,0.009948721,Normal,Conclusion: Normal - System Healthy
5172335000000.0,257.06,0.102,26.22012,0.014173178,Normal,Conclusion: Normal - System Healthy
168000.0,258.02,0.156,40.25112,0.023507591,Normal,Conclusion: Normal - System Healthy
1704072400000.0,299.945889849942,0.2574019797332858,77.20666586023715,0.024077931,Normal,Conclusion: Normal - System Healthy
2060000.0,260.81,0.0,0.0,0.18387985,Normal,Conclusion: Normal - System Healthy
5172421500000.0,258.13,0.138,35.62194,0.35217255,Normal,Conclusion: Normal - System Healthy
5172421500000.0,230.0,0.45,100.0,0.30539545,Normal,Conclusion: Normal - System Healthy
5172421500000.0,294.69958744284105,0.2843343692523365,83.793221314484,0.85610735,Abnormal,Conclusion: Abnormal - High Voltage (Overvoltage Risk)
5172421500000.0,259.82,0.0,0.0,0.023949852,Normal,Conclusion: Normal - System Healthy
5172421500000.0,255.09,0.156,39.79404,0.07672676,Normal,Conclusion: Normal - System Healthy
5172421500000.0,257.51,0.162,41.71662,0.045707546,Normal,Conclusion: Normal - System Healthy
3404072500000.0,254.32,0.176,44.76032,0.009976495,Normal,Conclusion: Normal - System Healthy
1507000.0,295.7147823910906,0.3207051099495435,94.83724180044004,0.0117553985,Normal,Conclusion: Normal - System Healthy
1704072400000.0,256.38,0.125,32.0475,0.107616164,Normal,Conclusion: Normal - System Healthy
5172421500000.0,258.68,0.142,36.73256,0.24748182,Normal,Conclusion: Normal - System Healthy
1704072400000.0,255.1,0.145,36.9895,0.21213521,Normal,Conclusion: Normal - System Healthy
3404072500000.0,319.12412725636324,0.4497263651571607,143.51853378495542,0.044553038,Normal,Conclusion: Normal - System Healthy
